ORIGIN,DEST,DISTANCE
MCO,MIA,192
MCO,MSP,1310
MDT,ATL,620
MDW,ATL,591
MDW,BOS,861
MDW,CLE,307
MDW,CLT,584
MDW,DTW,228
MDW,HPN,730
MDW,IAD,577
MDW,MSP,349
MDW,OKC,691
MEM,ATL,332
MEM,BDL,1049
MEM,BOS,1139
MEM,DAL,423
MEM,DTW,610
MEM,EWR,946
MEM,HOU,484
MEM,LAS,1416
MEM,LAX,1619
MEM,MSP,700
MEM,MSY,348
MEM,PDX,1854
MEM,PTK,633
MEM,SAT,625
MHT,ATL,952
MIA,ATL,594
MIA,CLE,1080
MIA,JFK,1089
MIA,LGA,1096
MIA,MCO,192
MIA,MEM,859
MIA,PHL,1013
MKE,ATL,669
MKE,BOS,860
MKE,CLE,328
MKE,DTW,237
MKE,IND,238
MKE,JFK,745
MKE,LAX,1756
MKE,MSP,297
MKE,SAT,1095
MOB,ATL,302
MSN,ATL,707
MSN,DTW,311
MSN,MSP,228
MSP,BDL,1050
MSP,BNA,695
MSP,BUF,735
MSP,CLE,622
MSP,CLT,930
MSP,CPS,463
MSP,CVG,596
MSP,DEN,680
MSP,DSM,232
MSP,DTW,528
MSP,EWR,1008
MSP,HOU,1057
MSP,IAD,908
MSP,IAH,1034
MSP,IND,503
MSP,JFK,1029
MSP,LAX,1535
MSP,LGA,1020
MSP,MCI,393
MSP,MCO,1310
MSP,MDW,349
MSP,MEM,700
MSP,MKE,297
MSP,MSN,228
MSP,OMA,282
MSP,PDX,1426
MSP,PHL,980
MSP,PIT,726
MSP,RSW,1416
MSP,SAT,1097
MSP,SEA,1399
MSP,SFO,1589
MSP,SLC,991
MSP,STL,448
MSP,SYR,860
MSY,DTW,926
MSY,LAX,1670
MSY,LGA,1183
MSY,MDW,825
MSY,MEM,348
MSY,MKE,903
MSY,MSP,1039
MSY,PHX,1300
MTJ,ATL,1352
MYR,ATL,317
NZY,SJC,418
OAK,DEN,957
OAK,LAX,337
OAK,MEM,1798
OAK,PDX,543
OAK,PHX,646
OAK,SLC,588
OKC,ATL,761
OKC,DAL,181
OKC,MDW,691
OKC,MSP,694
OKC,PHL,1261
OKC,SAT,407
OKC,SLC,866
OMA,ATL,821
OMA,DTW,651
OMA,MSN,359
OMA,MSP,282
ORD,ATL,606
ORD,DTW,235
PBI,DTW,1086
PBI,JFK,1028
PBI,LGA,1035
PDX,DEN,991
PDX,LAX,834
PDX,MSP,1426
PDX,SFO,550
PDX,SLC,630
PHF,ATL,508
PHL,ATL,666
PHL,BOS,280
PHL,CLE,363
PHL,CPS,804
PHL,DTW,453
PHL,IAD,135
PHL,LAX,2402
PHL,MSP,980
PHL,OKC,1261
PHL,PIT,268
PHX,BUF,1912
PHX,BUR,369
PHX,EWR,2133
PHX,HOU,1020
PHX,HPN,2158
PHX,JFK,2153
PHX,LAX,370
PHX,MIA,1972
PHX,MSY,1300
PHX,OAK,646
PHX,OKC,833
PHX,PDX,1009
PHX,SJC,621
PIT,ATL,526
PIT,DTW,201
PIT,JFK,340
PTK,ATL,625
PTK,CLT,531
PTK,MEM,633
PVD,ATL,903
PWM,ATL,1027
RDU,ATL,356
RDU,DTW,501
RDU,EWR,416
RDU,GTR,583
RDU,MSP,980
RSW,ATL,515
RSW,CVG,879
RSW,DTW,1084
RSW,JFK,1074
RSW,LGA,1080
RSW,MSP,1416
SAN,JFK,2446
SAT,ATL,874
SAT,DEN,794
SAT,EWR,1569
SAT,MCO,1041
SAT,MEM,625
SAT,MIA,1143
SAT,MSP,1097
SAT,OKC,407
SAV,ATL,214
SDF,ATL,321
SEA,ATL,2182
SEA,HNL,2677
SEA,JFK,2422
SEA,LAX,954
SEA,MSP,1399
SFO,ATL,2139
SFO,HNL,2398
SFO,IAD,2419
SFO,JFK,2586
SFO,MSP,1589
SFO,OKC,1384
SFO,SLC,599
SGF,ATL,563
SHV,ATL,551
SJC,LAX,308
SLC,BWI,1865
SLC,DEN,391
SLC,JFK,1990
SLC,LAX,590
SLC,MEM,1262
SLC,MSP,991
SLC,PHX,507
SLC,SFO,599
SMF,DEN,909
SMF,EWR,2500
SMF,LAX,373
SMF,MSP,1517
SMF,PDX,479
SMF,PHX,647
SNA,EWR,2434
STL,ATL,484
STL,DTW,440
STL,LGA,888
STL,MSP,448
STX,ATL,1638
SYR,ATL,794
SYR,DTW,374
SYR,MSP,860
TLH,ATL,223
TLH,GSO,469
TPA,IAD,811
TPA,JFK,1005
TPA,LGA,1010
TRI,ATL,227
TUL,ATL,674
TYS,ATL,152
TYS,PIT,382
VCV,ATL,1882
VPS,ATL,250
XNA,ATL,589
GSO,CLT,83
PWK,MIA,1205
CHS,EYW,584
CHS,FLL,470
ECP,EYW,470
ECP,FLL,453
ECP,GNV,216
FLL,CHS,470
FLL,ECP,453
GNV,CHS,257
JAX,ECP,245
PNS,CHS,453
TLH,CHS,307
TLH,EYW,432
APA,ASE,111
APF,TPA,134
CLT,SSI,281
FLL,MIA,21
PBI,APF,110
TPA,RSW,110
MLB,FXE,134
LAS,EWR,2227
BWI,JFK,184
GSP,LGA,610
JFK,BWI,184
CRW,ORF,313
CDB,DUT,178
CDV,TEK,49
EYW,GNV,355
FLL,TLH,393
GNV,EYW,355
TLH,FLL,393
LBB,ABQ,290
LRD,SHV,478
MHT,LCK,634
SAT,OMA,824
SDF,SBN,246
TUL,SGF,156
PIT,MSP,726
ANC,MSP,2519
ATL,AVP,714
ATL,BOS,946
ATL,BUF,712
ATL,CMH,447
ATL,DAY,432
ATL,ELP,1282
ATL,FSD,954
ATL,LAX,1947
ATL,LGA,762
ATL,MLB,442
ATL,MSP,907
ATL,MSY,425
ATL,NGU,513
ATL,ORF,516
ATL,PDX,2172
ATL,PNS,271
ATL,RIC,481
ATL,ROA,357
ATL,SJC,2116
ATL,SLC,1590
ATL,SRQ,444
ATL,TPA,406
ATW,DTW,296
ATW,MSP,236
AUS,FOE,614
AVP,ATL,714
BIS,MSP,386
BNA,CPS,255
BOI,MSP,1142
BOS,ATL,946
BOS,CLT,728
BOS,CMH,640
BOS,PTK,634
BUF,ATL,712
BUF,FRG,314
BZN,HPN,1894
CAK,DTW,133
CLE,CLT,430
CLE,DTW,95
CLE,OKC,948
CLE,SFO,2161
CLT,CLE,430
CLT,HOU,920
CLT,HPN,564
CLT,MSY,651
CMH,ATL,447
CMH,IAD,299
CMH,MSP,626
CPS,DEN,783
CVG,TPA,773
DAL,DEN,651
DAL,IAD,1163
DAL,MSP,853
DAY,ATL,432
DAY,DTW,166
DAY,MSP,574
DCA,DTW,405
DEN,ATL,1199
DEN,CLT,1337
DEN,IAD,1452
DEN,LAX,862
DEN,MDW,895
DEN,MEM,872
DEN,PIT,1290
DEN,RDU,1436
DEN,SMF,909
DTW,ATW,296
DTW,CAK,133
DTW,DAY,166
DTW,DCA,405
DTW,MDW,228
DTW,MHT,610
DTW,ORF,529
DTW,PVD,615
DTW,PWM,668
ELP,ATL,1282
EWR,BOS,200
EWR,LAX,2454
EWR,MCO,937
EWR,MSY,1167
EWR,PTK,497
EWR,RDU,416
EWR,SMF,2500
FAR,MSP,223
FNT,MSP,491
FOE,AUS,614
FRG,PHL,113
FTW,LBB,265
GRR,MSP,408
HOU,OAK,1642
HOU,OKC,419
HOU,SLC,1214
HPN,BED,158
HPN,BOS,166
HPN,PHL,115
IAD,HPN,247
IAD,PDX,2327
IAD,PHL,135
ICT,MSP,545
IND,ATL,432
IND,CLT,427
IND,PHX,1488
IND,SMF,1883
JFK,STT,1623
LAS,LAX,236
LAX,ATL,1947
LAX,CLE,2052
LAX,HPN,2477
LAX,MIA,2342
LAX,PHL,2402
LAX,SJC,308
LAX,SLC,590
LEX,DTW,296
LGA,ATL,762
LGA,MIA,1096
LGA,SRQ,1047
MCO,BOS,1121
MCO,PTK,989
MDW,DEN,895
MDW,MCO,990
MDW,PIT,402
MDW,SAT,1036
MEM,DEN,872
MEM,GEG,1662
MEM,IAD,742
MEM,MCO,684
MEM,OKC,432
MEM,PHL,875
MEM,PHX,1264
MEM,TUL,342
MHT,DTW,610
MIA,EWR,1085
MIA,IAD,921
MKE,MEM,557
MKE,PDX,1718
MKE,SLC,1247
MLB,ATL,442
MSP,ANC,2519
MSP,ATL,907
MSP,ATW,236
MSP,BIS,386
MSP,BOS,1124
MSP,BWI,936
MSP,CMH,626
MSP,DAY,574
MSP,FAR,223
MSP,FLL,1487
MSP,FNT,491
MSP,GRR,408
MSP,ICT,545
MSP,MSY,1039
MSP,OKC,694
MSP,PTK,513
MSY,BOS,1368
MSY,CLT,651
MSY,IAD,955
MSY,JFK,1182
MSY,PHL,1089
MSY,SAT,494
N1C,DTW,614
OAK,IND,1933
OAK,OKC,1375
OKC,DTW,900
OKC,EWR,1325
OKC,HOU,419
OKC,MCO,1069
OKC,SFO,1384
ORF,ATL,516
ORF,DTW,529
PDX,ATL,2172
PDX,JFK,2454
PDX,MDW,1751
PDX,PHX,1009
PDX,SAT,1714
PDX,SMF,479
PHL,BNA,675
PHL,BUF,279
PHL,HPN,115
PHL,IND,588
PHL,MEM,875
PHL,PTK,467
PHX,DEN,602
PHX,IAD,1956
PHX,MKE,1460
PHX,PVD,2277
PHX,SFO,651
PIT,BUF,186
PNS,ATL,271
PTK,CLE,118
PTK,EWR,497
PTK,IAD,404
PTK,PHL,467
PTK,SMF,2007
PVD,DTW,615
PWM,DTW,668
RDU,LAX,2239
RDU,TPA,587
RIC,ATL,481
ROA,ATL,357
SAN,CVG,1865
SAN,VCV,129
SAT,CLE,1240
SAT,LAX,1211
SAT,MSY,494
SEA,PHX,1107
SFO,DTW,2079
SJC,ATL,2116
SJC,CPS,1728
SJC,EWR,2548
SJC,HPN,2567
SLC,EWR,1969
SLC,MDW,1259
SLC,MSY,1428
SLC,OAK,588
SLC,PDX,630
SLC,SAT,1087
SLC,SEA,689
SLN,SAN,1172
SMF,OKC,1342
SRQ,ATL,444
SRQ,LGA,1047
STT,JFK,1623
TPA,ATL,406
TPA,CVG,773
TPA,LAX,2158
TUL,MEM,342
VCV,SLN,1131
CAE,CLT,88
CLT,CAE,88
CLT,GPT,577
GPT,CLT,577
SRQ,DCA,851
LAX,PIT,2136
ALB,PSF,34
MIA,TPA,204
MMU,TEB,19
PBI,MIA,62
TUS,SCF,118
DTW,DTW,0
BWI,LAX,2329
ORD,PHL,678
PHL,ORD,678
EWR,JFK,21
DTW,RIC,456
BZN,MSP,874
MCI,SLC,920
MSP,BZN,874
SLC,IAH,1195
SLC,MCI,920
ABQ,MSP,981
ADW,DTW,414
ADW,MCF,823
ATL,ADW,553
ATL,DFW,731
ATL,GRB,774
ATL,HPN,780
ATL,PHF,508
BDL,CVG,661
BFI,MSP,1398
BIL,SLC,387
BNA,CVG,230
BNA,DEN,1014
BNA,MDW,395
BOS,CLE,563
BOS,SLC,2105
BUF,CMH,296
BUF,JFK,301
BUF,LGA,292
CEF,JFK,125
CLE,BOS,563
CLE,IAD,288
CLT,IND,427
CLT,LGA,544
CLT,MCO,468
CVG,BDL,661
CVG,BNA,230
CVG,DCA,411
CVG,DFW,812
CVG,DTW,229
CVG,EWR,569
CVG,ORD,265
DAL,BNA,623
DAL,PDX,1626
DCA,CVG,411
DEN,BNA,1014
DEN,GCC,313
DEN,JFK,1626
DFW,ATL,731
DFW,CVG,812
DSM,DTW,534
DTW,CVG,229
DTW,DEN,1123
DTW,DSM,534
DTW,GSO,460
DTW,IAH,1075
DTW,LAS,1749
DTW,MDT,371
DTW,PDX,1953
DTW,SAV,705
DTW,SDF,306
DTW,SRQ,1022
DTW,TPA,983
DTW,TUL,789
EWR,CVG,569
EWR,TPA,997
FLL,EWR,1065
FRG,BUF,314
FRG,IAD,248
FSD,ATL,954
FSD,MSP,196
GCC,VCV,922
GRB,ATL,774
GRK,VCV,1161
GSO,DTW,460
HOU,MSP,1057
HOU,SAT,192
HOU,SMF,1624
HPN,IAD,247
HPN,PIT,344
IAD,FRG,248
IAD,IND,476
IAD,LCK,299
IAH,MSP,1034
IND,CLE,261
IND,MEM,381
IND,OKC,688
JAX,LGA,833
JFK,BUF,301
JFK,CHS,636
JFK,IND,665
JFK,PDX,2454
LAS,ATL,1747
LAS,GRK,1056
LAX,BOS,2611
LAX,CMH,1995
LAX,SAT,1211
LCK,IAD,299
LGA,BUF,292
LGA,CLE,419
LGA,CLT,544
LGA,JAX,833
MCF,ADW,823
MCO,MKE,1066
MCO,SAT,1041
MDT,DTW,371
MDW,BNA,395
MDW,PHL,668
MEM,IND,381
MEM,SLC,1262
MIA,BOS,1258
MIA,CLT,650
MIA,LAX,2342
MKC,BFI,1502
MKE,EWR,725
MKE,MCO,1066
MSN,LGA,812
MSP,ABQ,981
MSP,BIF,1145
MSP,DFW,852
MSP,FSD,196
MSP,HPN,1021
MSP,MKC,404
MSP,ORD,334
MSP,RDU,980
MSP,SMF,1517
MSY,ATL,425
MSY,HOU,302
MSY,OAK,1903
MSY,SFO,1911
OAK,DAL,1468
OAK,MSY,1903
OKC,DEN,495
OKC,IND,688
OKC,MEM,432
ORD,CVG,265
ORD,MSP,334
PDX,DTW,1953
PDX,EWR,2434
PDX,MEM,1854
PDX,MSY,2050
PDX,OKC,1484
PHL,CLT,449
PHL,EWR,80
PHL,MDW,668
PHL,RDU,337
PHX,ATL,1587
PHX,SMF,647
PIT,HPN,344
PIT,PHL,268
RDU,PHL,337
SAN,SLC,626
SAT,HOU,192
SAT,PHX,843
SAV,DTW,705
SDF,DTW,306
SEA,ANC,1448
SFO,MSY,1911
SLC,BIL,387
SLC,BOS,2105
SLC,HOU,1214
SLC,OKC,866
SLC,SAN,626
SLC,SMF,532
SMF,SLC,532
SRQ,DTW,1022
TPA,FLL,197
TUL,DTW,789
VCV,DEN,788
VCV,LAS,162
ILI,SDP,371
YAK,JNU,199
FXE,BWI,917
SBA,PSP,196
BRW,ANC,725
CLT,GSP,75
GSP,CLT,75
SFO,PHX,651
ISP,BWI,220
SFO,FLL,2584
ATL,ATL,0
BOS,BOS,0
BWI,BWI,0
CLE,CLE,0
DEN,DEN,0
DFW,DFW,0
FLL,FLL,0
IAH,DEN,862
IAH,IAH,0
LAS,LAS,0
LAX,LAX,0
LGA,LGA,0
MCI,MCI,0
MCO,MCO,0
MSP,MSP,0
MSY,MSY,0
MYR,MYR,0
OAK,OAK,0
ORD,ORD,0
PHL,PHL,0
SAN,SAN,0
TPA,TPA,0
IAD,CHO,77
ATL,ROC,749
ATL,SMF,2092
BGR,DTW,750
BOI,SLC,290
BWI,MSP,936
CLE,MDW,307
DCA,GRR,524
DCA,LGA,214
DEN,DTW,1123
DFW,MSP,852
DLH,MSP,144
DTW,BGR,750
DTW,EVV,363
DTW,LAN,74
DTW,OKC,900
DTW,ROC,296
DTW,TVC,207
EUG,RNO,365
EVV,DTW,363
GRB,MSP,252
GRR,DCA,524
HOU,LAX,1390
HPN,TPA,1032
IND,LGA,660
JFK,DEN,1626
LAN,DTW,74
LAX,HOU,1390
LAX,OGG,2486
LGA,DCA,214
LGA,IND,660
MCI,MCO,1072
MCO,BNA,616
MDW,LAX,1750
MDW,SNA,1731
MEM,OAK,1798
MSP,BKL,627
MSP,DLH,144
MSP,GRB,252
MSP,PHX,1276
MSP,ROC,783
MSP,TVC,376
N1C,ATL,440
OAK,HOU,1642
OAK,SEA,672
OGG,LAX,2486
OGG,SEA,2640
OMA,LGA,1148
PHX,DTW,1671
PIT,MDW,402
ROC,ATL,749
ROC,DTW,296
ROC,MSP,783
SDF,LGA,659
SEA,BOS,2496
SEA,OGG,2640
SFO,GRK,1469
SFO,MEM,1807
SFO,OAK,11
SLC,BOI,290
SMF,ATL,2092
SNA,MDW,1731
TPA,BOS,1185
TPA,HPN,1032
TPA,MSP,1306
TVC,DTW,207
TVC,MSP,376
LAX,RSW,2238
BOI,DEN,649
LAX,DFW,1235
AOO,PIT,102
PIT,AOO,102
MCO,MDT,851
MDT,EWR,141
MFE,DFW,469
PDX,ANC,1542
PDX,MHR,490
RFD,DFW,775
SDF,DFW,733
SDF,JAX,578
TEB,MIA,1098
EWR,HPN,35
ANC,FAI,261
IAD,SEA,2306
ORD,SEA,1721
SEA,IAD,2306
SEA,ORD,1721
ATL,BTV,961
ATL,FLL,581
AUS,DTW,1149
BOS,PIE,1193
BTV,ATL,961
CLE,OAK,2151
DCA,JFK,213
DCA,MKE,634
DFW,STL,550
DTW,AUS,1149
DTW,JAX,813
DTW,WRI,481
FAI,SEA,1533
JAX,DTW,813
JFK,DCA,213
LAS,SLC,368
LAX,CVG,1900
LAX,LAS,236
LAX,LIH,2615
LAX,MCO,2218
LAX,TPA,2158
LGA,PWM,269
LIH,LAX,2615
MCO,LAX,2218
MKE,DCA,634
MSP,XNA,596
OAK,CLE,2151
OMA,SLC,840
ONT,DTW,1934
PIE,ATL,408
PWM,LGA,269
SAN,DTW,1956
SEA,FAI,1533
SFO,CVG,2036
SFO,LAX,337
SLC,LAS,368
SLC,OMA,840
WRI,ONT,2389
XNA,MSP,596
FLL,LAX,2343
EWR,SJU,1608
ORD,LAS,1514
SJU,EWR,1608
DRO,PHX,351
PHX,DRO,351
CLT,PVD,683
ALB,JFK,146
ANC,SLC,2125
ATL,SAN,1892
BZN,SLC,347
CVG,SFO,2036
CVG,SLC,1450
DFW,SLC,989
DTW,MYR,636
DTW,SAT,1214
FLL,MSP,1487
JAX,MSP,1174
JFK,ALB,146
LGA,DEN,1620
LGA,RDU,431
MCO,SEA,2554
MSP,BOI,1142
MSP,JAX,1174
MSP,SAN,1532
MSP,SJC,1576
MYR,DTW,636
PHX,MSP,1276
PHX,SLC,507
RDU,LGA,431
SAN,ATL,1892
SAN,MSP,1532
SAT,DTW,1214
SAT,SLC,1087
SEA,MCO,2554
SEA,SLC,689
SJC,MSP,1576
SLC,ANC,2125
SLC,BZN,347
SLC,DFW,989
SLC,DTW,1481
OGG,MIA,4782
CLT,MCI,808
MCI,CLT,808
BNA,SDF,151
CID,RFD,136
DFW,CAE,922
DTW,LCK,167
FSD,BNA,741
FSD,DSM,211
MHT,MDT,335
MSY,TYS,541
