IATA,ID
FRG,11764
MAF,13158
FVG,11803
SJT,14842
SAA,14670
SPW,14962
LGB,12954
BRD,10739
PVU,14314
U36,16431
BJC,10630
TRM,15325
SLC,14869
SNA,14908
DAL,11259
SAF,14674
MMH,13388
VEL,15582
HOU,12191
BRO,10747
WWA,15881
FTW,11789
AST,10385
ASE,10372
FAR,11637
APC,10327
MTH,13501
MSO,13486
ORL,13936
STS,15023
BPT,10728
DWA,11452
GRB,11977
PTK,14275
YKM,16101
FAT,11638
PWM,14321
ELP,11540
TWF,15389
SRQ,14986
SDM,14736
BJI,10631
BNA,10693
TEX,15177
EGE,11503
GYR,12054
ONT,13891
BTV,10785
HDN,12094
ATL,10397
EKI,11523
AGS,10208
COS,11109
BCT,10519
OTH,13964
MTJ,13502
INL,12343
UGN,15447
MCE,13194
HCB,12086
RBD,14465
PSP,14262
SCF,14712
GYY,12055
TN2,15271
GJT,11921
BHB,10589
SMF,14893
MSC,13480
AZO,10469
SBN,14696
SCK,14716
RNO,14570
HRL,12206
PUB,14288
VIS,15601
SCH,14713
PIA,14108
LAR,12888
ABI,10136
MFE,13256
HVN,12244
LNK,13029
TYS,15412
EKO,11525
SSI,14996
DQH,11388
TBR,15141
SPZ,14964
XXX,15981
HIB,12129
DTW,11433
PDK,14050
EAT,11470
MCC,13192
COE,11098
KOA,12758
MMU,13398
SUS,15043
PWK,14320
TKF,15232
HNL,12173
MCO,13204
BVO,10811
GRI,11980
OKC,13851
FLG,11695
SHR,14812
HIO,12136
FSD,11775
BLM,10670
PSC,14252
HTS,12223
AUW,10424
CON,11106
LEX,12945
EAU,11471
BZN,10849
AVP,10434
CYS,11233
LBB,12896
LAN,12884
LBE,12898
MTW,13512
GRR,11986
PHN,14101
AUZ,10427
ELM,11537
IDA,12280
MIV,13321
S24,16459
SDF,14730
TVL,15383
IAG,12265
FVZ,11822
JZM,12591
BMX,10692
LRO,13070
LUK,13105
A71,10084
A72,10085
A74,10087
A40,10053
JBR,12455
ALW,10275
PDT,14054
LIT,12992
OPF,13898
UST,15497
FXE,11827
DIO,11317
HBV,12083
AXN,10449
LIH,12982
ACK,10154
STT,15024
VWN,15659
TOL,15295
FFM,11667
FNT,11721
MTN,13505
DPA,11376
DWH,11453
FHB,16363
GED,11883
DEN,11292
RDM,14489
FSM,11778
FTY,11790
PGR,16449
ZXU,16353
DAB,11252
RAP,14457
POU,14212
SJU,14843
CRP,11140
KCR,12642
BFK,10560
HSH,12211
FWA,11823
AZ3,10465
HYA,12250
DET,11295
CLD,11041
TLH,15249
ITO,12402
CHO,10990
APF,10329
GTF,12003
HTO,12222
EWB,11615
NPT,13731
RUT,14648
ART,10361
MNZ,13418
OXC,13987
ISP,12391
FOK,11728
6B0,16429
FID,11675
NY3,13783
OWD,13984
HFD,12108
LWB,13121
MTP,13507
GFL,11899
ROG,14577
VGC,16454
SLK,14875
BVY,10815
BED,10540
ILM,12323
VWK,15656
BID,10613
UBF,15427
WVL,15879
AA8,11381
GUP,12018
LMT,13024
FMN,11711
EKA,11522
CVO,11198
LWS,13127
ELN,11538
LGD,12956
DRO,11413
RBG,14467
MFR,13264
EPH,11567
NYL,13785
RNT,14572
ZXB,16335
HII,12132
CIC,11002
SLE,14871
OMK,13876
NY1,13781
ANP,10309
MPV,13450
ESN,11592
BBX,10504
GAI,11842
UOS,16419
EEN,11493
CT1,16441
PVC,14306
LEB,12932
NY5,16442
BGM,10577
OH5,13837
LBF,12899
BIH,10617
PQI,14231
DIK,11315
IMT,12335
RHI,14520
CDC,10918
PBG,14025
PIH,14113
PIR,14120
PLN,14150
UKI,15458
AFW,10194
MKK,13347
MOT,13433
ISN,12389
PSE,14254
SDY,14745
EAR,11468
CPR,11122
TX7,15399
GLR,11938
ACV,10157
LNY,13034
SHV,14814
BIL,10620
SGU,14794
CIU,11013
DHN,11308
CMX,11076
BWD,10817
CEC,10930
GCC,11865
EYW,11624
ROW,14588
CSG,11150
MBS,13184
ESC,11587
MQT,13459
DQS,11399
TX8,16412
8F3,10013
MCK,13200
SBP,14698
PKB,14131
DDC,11283
RIW,14534
SMX,14905
WVI,15877
DTH,11425
LBL,12902
PGS,14091
HSV,12217
LCK,12917
PSB,14251
WJF,15769
SBY,14704
STX,15027
JHM,12492
ATW,10408
GDV,11879
MUE,13520
ABR,10141
OLF,13862
SQA,14965
ECU,11483
SNY,14927
HON,12185
VGT,15589
1G4,10011
MZJ,13587
CWA,11203
HLN,12156
GGW,11908
GCK,11867
PRB,14236
OLU,13869
L41,16428
MFH,13259
SXQ,15086
MCL,13201
CLF,11043
KCN,12639
TCL,15153
SSW,15003
YIP,16091
ACB,10149
ILN,12324
TVC,15380
AZA,10466
SNP,14919
SYA,15090
ATU,10406
AKB,10237
ADK,10165
DUJ,11441
PNS,14193
JHW,12494
BFD,10557
FKL,11684
PFN,14078
MWH,13546
MBL,13182
GBR,11862
FMY,11714
CNY,11092
CDR,10925
WRL,15843
ALS,10272
HYS,12255
CEZ,10950
GBD,11856
LWT,13128
AIA,10221
BFF,10558
IGM,12297
MLS,13375
ELY,11547
RKS,14543
JLN,12511
TBN,15138
SOW,14943
IWD,12412
MHK,13290
HVR,12245
SVC,15051
PSM,14259
A13,10026
BHM,10599
VCT,15569
GTU,12008
COD,11097
TMB,15260
RKD,14539
HAO,12068
FFT,11669
RQR,14610
MI4,16424
JAN,12448
AFK,10190
UXO,15529
CAD,10867
MYF,13570
GSP,11996
PYM,14332
IOW,12358
LZU,13151
LNS,13032
SBM,14695
AGC,10198
CRG,11136
ITH,12397
UES,15440
RAC,14447
WGO,15749
